Name,Year,Genre,Perspective,Console,Moby Score,Critics,Publishers,Developers,Multiplayer,Offline Players,Gameplay
Turbo Girl,1988,Action,Top-down,Commodore 64,7.6,41% (1),"Dinamic Software, Alternative Software Ltd.",Dinamic Software,0.0,1.0,Shooter
U.S. Championship V'Ball,1988,Sports,Side view,Arcade,7.8,76% (12),"Technos Japan Corp., Sharp Corporation, Nintendo of America Inc.",Technos Japan Corp.,0.0,1.0,Volleyball
On the Rain-Slick Precipice of Darkness: Episode T...,2008,Role-playing (RPG),Diagonal-down,Windows,7.7,77% (22),"Hothead Games, Inc., 1C Company","Hothead Games, Inc.",0.0,1.0,Turn-based
Assassin's Creed IV: Black Flag,2013,Compilation,,PlayStation 3,8.0,80% (12),"Ubisoft Entertainment SA, ak tronic Software & Services GmbH",Ubisoft Entertainment SA,0.0,1.0,
Ultima: The Second Trilogy,1992,Compilation,Top-down,DOS,7.9,86% (1),"ORIGIN Systems, Inc., Electronic Arts, Inc.","ORIGIN Systems, Inc.",0.0,1.0,Turn-based
The House of the Dead: Overkill,2009,Action,1st-person,Wii,7.9,79% (51),Headstrong Games Ltd.,Headstrong Games Ltd.,0.0,1.0,Rail shooter
The Battle for Wesnoth,2005,Strategy,Diagonal-down,BeOS,8.2,84% (20),"Androth Softworks, Wesnoth Inc.",Androth Softworks,0.0,1.0,Turn-based
Audiosurf,2008,Racing / Driving,Behind view,Windows,8.4,86% (29),"Audiosurf, LLC","Audiosurf, LLC",0.0,1.0,"Falling block puzzle, Music / rhythm"
Gabriel Knight: Sins of the Fathers,1993,Adventure,Side view,DOS,8.4,86% (34),"Sierra On-Line, Inc., Activision Publishing, Inc., Activision Value Publishing, Inc.","Sierra On-Line, Inc.",0.0,1.0,2D scrolling
Rock n' Roll Racing,1993,Action,Diagonal-down,SNES,8.3,83% (31),"Interplay Productions, Inc., Namco Limited, Blizzard Entertainment Inc., Vivendi Universal Games, Inc.","Interplay Productions, Inc.",0.0,1.0,"Arcade, Shooter"
Freddi Fish 2: The Case of the Haunted Schoolhouse,1996,Adventure,Side view,Macintosh,8.2,89% (6),"Humongous Entertainment, Inc., Take-Two Interactive Software, Inc., Akella","Humongous Entertainment, Inc.",0.0,1.0,Point and select
Little Samson,1992,Action,Side view,NES,8.1,84% (13),"Takeru Co., Ltd.","Takeru Co., Ltd.",0.0,1.0,Fantasy
Links 386 Pro,1992,Sports,Behind view,DOS,8.3,91% (8),"Access Software, Inc., Cybelle, Big Finish Games","Access Software, Inc.",0.0,1.0,Golf
Gun-Nac,1990,Action,Top-down,NES,8.1,85% (8),Compile,Compile,0.0,1.0,"Arcade, Shooter"
StarCraft: Battle Chest,1999,Compilation,,Windows,8.1,90% (1),Blizzard Entertainment Inc.,Blizzard Entertainment Inc.,0.0,1.0,
The Magic Candle: Volume 1,1989,Role-playing (RPG),Top-down,DOS,7.7,77% (9),"Mindcraft Software, Inc., StarCraft, Inc.","Mindcraft Software, Inc.",0.0,1.0,Turn-based
Nancy Drew: Secret of the Old Clock,2005,Adventure,1st-person,Windows,7.8,77% (16),"Her Interactive, Inc.","Her Interactive, Inc.",0.0,1.0,Puzzle elements
Serious Sam: Gold,2003,Compilation,Extra content / game,Windows,7.8,75% (3),,,0.0,1.0,
Turbo Girl,1988,Action,Top-down,Commodore 64,7.6,41% (1),"Dinamic Software, Alternative Software Ltd.",Dinamic Software,0.0,1.0,Shooter
U.S. Championship V'Ball,1988,Sports,Side view,Arcade,7.8,76% (12),"Technos Japan Corp., Sharp Corporation, Nintendo of America Inc.",Technos Japan Corp.,0.0,1.0,Volleyball
On the Rain-Slick Precipice of Darkness: Episode T...,2008,Role-playing (RPG),Diagonal-down,Windows,7.7,77% (22),"Hothead Games, Inc., 1C Company","Hothead Games, Inc.",0.0,1.0,Turn-based
Assassin's Creed IV: Black Flag,2013,Compilation,,PlayStation 3,8.0,80% (12),"Ubisoft Entertainment SA, ak tronic Software & Services GmbH",Ubisoft Entertainment SA,0.0,1.0,
Ultima: The Second Trilogy,1992,Compilation,Top-down,DOS,7.9,86% (1),"ORIGIN Systems, Inc., Electronic Arts, Inc.","ORIGIN Systems, Inc.",0.0,1.0,Turn-based
The House of the Dead: Overkill,2009,Action,1st-person,Wii,7.9,79% (51),Headstrong Games Ltd.,Headstrong Games Ltd.,0.0,1.0,Rail shooter
The Battle for Wesnoth,2005,Strategy,Diagonal-down,BeOS,8.2,84% (20),"Androth Softworks, Wesnoth Inc.",Androth Softworks,0.0,1.0,Turn-based
Audiosurf,2008,Racing / Driving,Behind view,Windows,8.4,86% (29),"Audiosurf, LLC","Audiosurf, LLC",0.0,1.0,"Falling block puzzle, Music / rhythm"
Gabriel Knight: Sins of the Fathers,1993,Adventure,Side view,DOS,8.4,86% (34),"Sierra On-Line, Inc., Activision Publishing, Inc., Activision Value Publishing, Inc.","Sierra On-Line, Inc.",0.0,1.0,2D scrolling
Rock n' Roll Racing,1993,Action,Diagonal-down,SNES,8.3,83% (31),"Interplay Productions, Inc., Namco Limited, Blizzard Entertainment Inc., Vivendi Universal Games, Inc.","Interplay Productions, Inc.",0.0,1.0,"Arcade, Shooter"
Freddi Fish 2: The Case of the Haunted Schoolhouse,1996,Adventure,Side view,Macintosh,8.2,89% (6),"Humongous Entertainment, Inc., Take-Two Interactive Software, Inc., Akella","Humongous Entertainment, Inc.",0.0,1.0,Point and select
Little Samson,1992,Action,Side view,NES,8.1,84% (13),"Takeru Co., Ltd.","Takeru Co., Ltd.",0.0,1.0,Fantasy
Links 386 Pro,1992,Sports,Behind view,DOS,8.3,91% (8),"Access Software, Inc., Cybelle, Big Finish Games","Access Software, Inc.",0.0,1.0,Golf
Gun-Nac,1990,Action,Top-down,NES,8.1,85% (8),Compile,Compile,0.0,1.0,"Arcade, Shooter"
StarCraft: Battle Chest,1999,Compilation,,Windows,8.1,90% (1),Blizzard Entertainment Inc.,Blizzard Entertainment Inc.,0.0,1.0,
The Magic Candle: Volume 1,1989,Role-playing (RPG),Top-down,DOS,7.7,77% (9),"Mindcraft Software, Inc., StarCraft, Inc.","Mindcraft Software, Inc.",0.0,1.0,Turn-based
Nancy Drew: Secret of the Old Clock,2005,Adventure,1st-person,Windows,7.8,77% (16),"Her Interactive, Inc.","Her Interactive, Inc.",0.0,1.0,Puzzle elements
Serious Sam: Gold,2003,Compilation,Extra content / game,Windows,7.8,75% (3),,,0.0,1.0,
Turbo Girl,1988,Action,Top-down,Commodore 64,7.6,41% (1),"Dinamic Software, Alternative Software Ltd.",Dinamic Software,0.0,1.0,Shooter
U.S. Championship V'Ball,1988,Sports,Side view,Arcade,7.8,76% (12),"Technos Japan Corp., Sharp Corporation, Nintendo of America Inc.",Technos Japan Corp.,0.0,1.0,Volleyball
On the Rain-Slick Precipice of Darkness: Episode T...,2008,Role-playing (RPG),Diagonal-down,Windows,7.7,77% (22),"Hothead Games, Inc., 1C Company","Hothead Games, Inc.",0.0,1.0,Turn-based
Assassin's Creed IV: Black Flag,2013,Compilation,,PlayStation 3,8.0,80% (12),"Ubisoft Entertainment SA, ak tronic Software & Services GmbH",Ubisoft Entertainment SA,0.0,1.0,
Ultima: The Second Trilogy,1992,Compilation,Top-down,DOS,7.9,86% (1),"ORIGIN Systems, Inc., Electronic Arts, Inc.","ORIGIN Systems, Inc.",0.0,1.0,Turn-based
The House of the Dead: Overkill,2009,Action,1st-person,Wii,7.9,79% (51),Headstrong Games Ltd.,Headstrong Games Ltd.,0.0,1.0,Rail shooter
The Battle for Wesnoth,2005,Strategy,Diagonal-down,BeOS,8.2,84% (20),"Androth Softworks, Wesnoth Inc.",Androth Softworks,0.0,1.0,Turn-based
Audiosurf,2008,Racing / Driving,Behind view,Windows,8.4,86% (29),"Audiosurf, LLC","Audiosurf, LLC",0.0,1.0,"Falling block puzzle, Music / rhythm"
Gabriel Knight: Sins of the Fathers,1993,Adventure,Side view,DOS,8.4,86% (34),"Sierra On-Line, Inc., Activision Publishing, Inc., Activision Value Publishing, Inc.","Sierra On-Line, Inc.",0.0,1.0,2D scrolling
Rock n' Roll Racing,1993,Action,Diagonal-down,SNES,8.3,83% (31),"Interplay Productions, Inc., Namco Limited, Blizzard Entertainment Inc., Vivendi Universal Games, Inc.","Interplay Productions, Inc.",0.0,1.0,"Arcade, Shooter"
Freddi Fish 2: The Case of the Haunted Schoolhouse,1996,Adventure,Side view,Macintosh,8.2,89% (6),"Humongous Entertainment, Inc., Take-Two Interactive Software, Inc., Akella","Humongous Entertainment, Inc.",0.0,1.0,Point and select
Little Samson,1992,Action,Side view,NES,8.1,84% (13),"Takeru Co., Ltd.","Takeru Co., Ltd.",0.0,1.0,Fantasy
Links 386 Pro,1992,Sports,Behind view,DOS,8.3,91% (8),"Access Software, Inc., Cybelle, Big Finish Games","Access Software, Inc.",0.0,1.0,Golf
Gun-Nac,1990,Action,Top-down,NES,8.1,85% (8),Compile,Compile,0.0,1.0,"Arcade, Shooter"
StarCraft: Battle Chest,1999,Compilation,,Windows,8.1,90% (1),Blizzard Entertainment Inc.,Blizzard Entertainment Inc.,0.0,1.0,
The Magic Candle: Volume 1,1989,Role-playing (RPG),Top-down,DOS,7.7,77% (9),"Mindcraft Software, Inc., StarCraft, Inc.","Mindcraft Software, Inc.",0.0,1.0,Turn-based
Nancy Drew: Secret of the Old Clock,2005,Adventure,1st-person,Windows,7.8,77% (16),"Her Interactive, Inc.","Her Interactive, Inc.",0.0,1.0,Puzzle elements
Serious Sam: Gold,2003,Compilation,Extra content / game,Windows,7.8,75% (3),,,0.0,1.0,
Turbo Girl,1988,Action,Top-down,Commodore 64,7.6,41% (1),"Dinamic Software, Alternative Software Ltd.",Dinamic Software,0.0,1.0,Shooter
U.S. Championship V'Ball,1988,Sports,Side view,Arcade,7.8,76% (12),"Technos Japan Corp., Sharp Corporation, Nintendo of America Inc.",Technos Japan Corp.,0.0,1.0,Volleyball
On the Rain-Slick Precipice of Darkness: Episode T...,2008,Role-playing (RPG),Diagonal-down,Windows,7.7,77% (22),"Hothead Games, Inc., 1C Company","Hothead Games, Inc.",0.0,1.0,Turn-based
Assassin's Creed IV: Black Flag,2013,Compilation,,PlayStation 3,8.0,80% (12),"Ubisoft Entertainment SA, ak tronic Software & Services GmbH",Ubisoft Entertainment SA,0.0,1.0,
Ultima: The Second Trilogy,1992,Compilation,Top-down,DOS,7.9,86% (1),"ORIGIN Systems, Inc., Electronic Arts, Inc.","ORIGIN Systems, Inc.",0.0,1.0,Turn-based
The House of the Dead: Overkill,2009,Action,1st-person,Wii,7.9,79% (51),Headstrong Games Ltd.,Headstrong Games Ltd.,0.0,1.0,Rail shooter
The Battle for Wesnoth,2005,Strategy,Diagonal-down,BeOS,8.2,84% (20),"Androth Softworks, Wesnoth Inc.",Androth Softworks,0.0,1.0,Turn-based
Audiosurf,2008,Racing / Driving,Behind view,Windows,8.4,86% (29),"Audiosurf, LLC","Audiosurf, LLC",0.0,1.0,"Falling block puzzle, Music / rhythm"
Gabriel Knight: Sins of the Fathers,1993,Adventure,Side view,DOS,8.4,86% (34),"Sierra On-Line, Inc., Activision Publishing, Inc., Activision Value Publishing, Inc.","Sierra On-Line, Inc.",0.0,1.0,2D scrolling
Rock n' Roll Racing,1993,Action,Diagonal-down,SNES,8.3,83% (31),"Interplay Productions, Inc., Namco Limited, Blizzard Entertainment Inc., Vivendi Universal Games, Inc.","Interplay Productions, Inc.",0.0,1.0,"Arcade, Shooter"
Freddi Fish 2: The Case of the Haunted Schoolhouse,1996,Adventure,Side view,Macintosh,8.2,89% (6),"Humongous Entertainment, Inc., Take-Two Interactive Software, Inc., Akella","Humongous Entertainment, Inc.",0.0,1.0,Point and select
Little Samson,1992,Action,Side view,NES,8.1,84% (13),"Takeru Co., Ltd.","Takeru Co., Ltd.",0.0,1.0,Fantasy
Links 386 Pro,1992,Sports,Behind view,DOS,8.3,91% (8),"Access Software, Inc., Cybelle, Big Finish Games","Access Software, Inc.",0.0,1.0,Golf
Gun-Nac,1990,Action,Top-down,NES,8.1,85% (8),Compile,Compile,0.0,1.0,"Arcade, Shooter"
StarCraft: Battle Chest,1999,Compilation,,Windows,8.1,90% (1),Blizzard Entertainment Inc.,Blizzard Entertainment Inc.,0.0,1.0,
The Magic Candle: Volume 1,1989,Role-playing (RPG),Top-down,DOS,7.7,77% (9),"Mindcraft Software, Inc., StarCraft, Inc.","Mindcraft Software, Inc.",0.0,1.0,Turn-based
Nancy Drew: Secret of the Old Clock,2005,Adventure,1st-person,Windows,7.8,77% (16),"Her Interactive, Inc.","Her Interactive, Inc.",0.0,1.0,Puzzle elements
Serious Sam: Gold,2003,Compilation,Extra content / game,Windows,7.8,75% (3),,,0.0,1.0,
Turbo Girl,1988,Action,Top-down,Commodore 64,7.6,41% (1),"Dinamic Software, Alternative Software Ltd.",Dinamic Software,0.0,1.0,Shooter
U.S. Championship V'Ball,1988,Sports,Side view,Arcade,7.8,76% (12),"Technos Japan Corp., Sharp Corporation, Nintendo of America Inc.",Technos Japan Corp.,0.0,1.0,Volleyball
On the Rain-Slick Precipice of Darkness: Episode T...,2008,Role-playing (RPG),Diagonal-down,Windows,7.7,77% (22),"Hothead Games, Inc., 1C Company","Hothead Games, Inc.",0.0,1.0,Turn-based
Assassin's Creed IV: Black Flag,2013,Compilation,,PlayStation 3,8.0,80% (12),"Ubisoft Entertainment SA, ak tronic Software & Services GmbH",Ubisoft Entertainment SA,0.0,1.0,
Ultima: The Second Trilogy,1992,Compilation,Top-down,DOS,7.9,86% (1),"ORIGIN Systems, Inc., Electronic Arts, Inc.","ORIGIN Systems, Inc.",0.0,1.0,Turn-based
The House of the Dead: Overkill,2009,Action,1st-person,Wii,7.9,79% (51),Headstrong Games Ltd.,Headstrong Games Ltd.,0.0,1.0,Rail shooter
The Battle for Wesnoth,2005,Strategy,Diagonal-down,BeOS,8.2,84% (20),"Androth Softworks, Wesnoth Inc.",Androth Softworks,0.0,1.0,Turn-based
Audiosurf,2008,Racing / Driving,Behind view,Windows,8.4,86% (29),"Audiosurf, LLC","Audiosurf, LLC",0.0,1.0,"Falling block puzzle, Music / rhythm"
Gabriel Knight: Sins of the Fathers,1993,Adventure,Side view,DOS,8.4,86% (34),"Sierra On-Line, Inc., Activision Publishing, Inc., Activision Value Publishing, Inc.","Sierra On-Line, Inc.",0.0,1.0,2D scrolling
Rock n' Roll Racing,1993,Action,Diagonal-down,SNES,8.3,83% (31),"Interplay Productions, Inc., Namco Limited, Blizzard Entertainment Inc., Vivendi Universal Games, Inc.","Interplay Productions, Inc.",0.0,1.0,"Arcade, Shooter"
Freddi Fish 2: The Case of the Haunted Schoolhouse,1996,Adventure,Side view,Macintosh,8.2,89% (6),"Humongous Entertainment, Inc., Take-Two Interactive Software, Inc., Akella","Humongous Entertainment, Inc.",0.0,1.0,Point and select
Little Samson,1992,Action,Side view,NES,8.1,84% (13),"Takeru Co., Ltd.","Takeru Co., Ltd.",0.0,1.0,Fantasy
Links 386 Pro,1992,Sports,Behind view,DOS,8.3,91% (8),"Access Software, Inc., Cybelle, Big Finish Games","Access Software, Inc.",0.0,1.0,Golf
Gun-Nac,1990,Action,Top-down,NES,8.1,85% (8),Compile,Compile,0.0,1.0,"Arcade, Shooter"
StarCraft: Battle Chest,1999,Compilation,,Windows,8.1,90% (1),Blizzard Entertainment Inc.,Blizzard Entertainment Inc.,0.0,1.0,
The Magic Candle: Volume 1,1989,Role-playing (RPG),Top-down,DOS,7.7,77% (9),"Mindcraft Software, Inc., StarCraft, Inc.","Mindcraft Software, Inc.",0.0,1.0,Turn-based
Nancy Drew: Secret of the Old Clock,2005,Adventure,1st-person,Windows,7.8,77% (16),"Her Interactive, Inc.","Her Interactive, Inc.",0.0,1.0,Puzzle elements
Serious Sam: Gold,2003,Compilation,Extra content / game,Windows,7.8,75% (3),,,0.0,1.0,
Turbo Girl,1988,Action,Top-down,Commodore 64,7.6,41% (1),"Dinamic Software, Alternative Software Ltd.",Dinamic Software,0.0,1.0,Shooter
U.S. Championship V'Ball,1988,Sports,Side view,Arcade,7.8,76% (12),"Technos Japan Corp., Sharp Corporation, Nintendo of America Inc.",Technos Japan Corp.,0.0,1.0,Volleyball
On the Rain-Slick Precipice of Darkness: Episode T...,2008,Role-playing (RPG),Diagonal-down,Windows,7.7,77% (22),"Hothead Games, Inc., 1C Company","Hothead Games, Inc.",0.0,1.0,Turn-based
Assassin's Creed IV: Black Flag,2013,Compilation,,PlayStation 3,8.0,80% (12),"Ubisoft Entertainment SA, ak tronic Software & Services GmbH",Ubisoft Entertainment SA,0.0,1.0,
Ultima: The Second Trilogy,1992,Compilation,Top-down,DOS,7.9,86% (1),"ORIGIN Systems, Inc., Electronic Arts, Inc.","ORIGIN Systems, Inc.",0.0,1.0,Turn-based
The House of the Dead: Overkill,2009,Action,1st-person,Wii,7.9,79% (51),Headstrong Games Ltd.,Headstrong Games Ltd.,0.0,1.0,Rail shooter
The Battle for Wesnoth,2005,Strategy,Diagonal-down,BeOS,8.2,84% (20),"Androth Softworks, Wesnoth Inc.",Androth Softworks,0.0,1.0,Turn-based
Audiosurf,2008,Racing / Driving,Behind view,Windows,8.4,86% (29),"Audiosurf, LLC","Audiosurf, LLC",0.0,1.0,"Falling block puzzle, Music / rhythm"
Gabriel Knight: Sins of the Fathers,1993,Adventure,Side view,DOS,8.4,86% (34),"Sierra On-Line, Inc., Activision Publishing, Inc., Activision Value Publishing, Inc.","Sierra On-Line, Inc.",0.0,1.0,2D scrolling
Rock n' Roll Racing,1993,Action,Diagonal-down,SNES,8.3,83% (31),"Interplay Productions, Inc., Namco Limited, Blizzard Entertainment Inc., Vivendi Universal Games, Inc.","Interplay Productions, Inc.",0.0,1.0,"Arcade, Shooter"
Freddi Fish 2: The Case of the Haunted Schoolhouse,1996,Adventure,Side view,Macintosh,8.2,89% (6),"Humongous Entertainment, Inc., Take-Two Interactive Software, Inc., Akella","Humongous Entertainment, Inc.",0.0,1.0,Point and select
Little Samson,1992,Action,Side view,NES,8.1,84% (13),"Takeru Co., Ltd.","Takeru Co., Ltd.",0.0,1.0,Fantasy
Links 386 Pro,1992,Sports,Behind view,DOS,8.3,91% (8),"Access Software, Inc., Cybelle, Big Finish Games","Access Software, Inc.",0.0,1.0,Golf
Gun-Nac,1990,Action,Top-down,NES,8.1,85% (8),Compile,Compile,0.0,1.0,"Arcade, Shooter"
StarCraft: Battle Chest,1999,Compilation,,Windows,8.1,90% (1),Blizzard Entertainment Inc.,Blizzard Entertainment Inc.,0.0,1.0,
The Magic Candle: Volume 1,1989,Role-playing (RPG),Top-down,DOS,7.7,77% (9),"Mindcraft Software, Inc., StarCraft, Inc.","Mindcraft Software, Inc.",0.0,1.0,Turn-based
Nancy Drew: Secret of the Old Clock,2005,Adventure,1st-person,Windows,7.8,77% (16),"Her Interactive, Inc.","Her Interactive, Inc.",0.0,1.0,Puzzle elements
Serious Sam: Gold,2003,Compilation,Extra content / game,Windows,7.8,75% (3),,,0.0,1.0,
Turbo Girl,1988,Action,Top-down,Commodore 64,7.6,41% (1),"Dinamic Software, Alternative Software Ltd.",Dinamic Software,0.0,1.0,Shooter
U.S. Championship V'Ball,1988,Sports,Side view,Arcade,7.8,76% (12),"Technos Japan Corp., Sharp Corporation, Nintendo of America Inc.",Technos Japan Corp.,0.0,1.0,Volleyball
On the Rain-Slick Precipice of Darkness: Episode T...,2008,Role-playing (RPG),Diagonal-down,Windows,7.7,77% (22),"Hothead Games, Inc., 1C Company","Hothead Games, Inc.",0.0,1.0,Turn-based
Assassin's Creed IV: Black Flag,2013,Compilation,,PlayStation 3,8.0,80% (12),"Ubisoft Entertainment SA, ak tronic Software & Services GmbH",Ubisoft Entertainment SA,0.0,1.0,
Ultima: The Second Trilogy,1992,Compilation,Top-down,DOS,7.9,86% (1),"ORIGIN Systems, Inc., Electronic Arts, Inc.","ORIGIN Systems, Inc.",0.0,1.0,Turn-based
The House of the Dead: Overkill,2009,Action,1st-person,Wii,7.9,79% (51),Headstrong Games Ltd.,Headstrong Games Ltd.,0.0,1.0,Rail shooter
The Battle for Wesnoth,2005,Strategy,Diagonal-down,BeOS,8.2,84% (20),"Androth Softworks, Wesnoth Inc.",Androth Softworks,0.0,1.0,Turn-based
Audiosurf,2008,Racing / Driving,Behind view,Windows,8.4,86% (29),"Audiosurf, LLC","Audiosurf, LLC",0.0,1.0,"Falling block puzzle, Music / rhythm"
Gabriel Knight: Sins of the Fathers,1993,Adventure,Side view,DOS,8.4,86% (34),"Sierra On-Line, Inc., Activision Publishing, Inc., Activision Value Publishing, Inc.","Sierra On-Line, Inc.",0.0,1.0,2D scrolling
Rock n' Roll Racing,1993,Action,Diagonal-down,SNES,8.3,83% (31),"Interplay Productions, Inc., Namco Limited, Blizzard Entertainment Inc., Vivendi Universal Games, Inc.","Interplay Productions, Inc.",0.0,1.0,"Arcade, Shooter"
Freddi Fish 2: The Case of the Haunted Schoolhouse,1996,Adventure,Side view,Macintosh,8.2,89% (6),"Humongous Entertainment, Inc., Take-Two Interactive Software, Inc., Akella","Humongous Entertainment, Inc.",0.0,1.0,Point and select
Little Samson,1992,Action,Side view,NES,8.1,84% (13),"Takeru Co., Ltd.","Takeru Co., Ltd.",0.0,1.0,Fantasy
Links 386 Pro,1992,Sports,Behind view,DOS,8.3,91% (8),"Access Software, Inc., Cybelle, Big Finish Games","Access Software, Inc.",0.0,1.0,Golf
Gun-Nac,1990,Action,Top-down,NES,8.1,85% (8),Compile,Compile,0.0,1.0,"Arcade, Shooter"
StarCraft: Battle Chest,1999,Compilation,,Windows,8.1,90% (1),Blizzard Entertainment Inc.,Blizzard Entertainment Inc.,0.0,1.0,
The Magic Candle: Volume 1,1989,Role-playing (RPG),Top-down,DOS,7.7,77% (9),"Mindcraft Software, Inc., StarCraft, Inc.","Mindcraft Software, Inc.",0.0,1.0,Turn-based
Nancy Drew: Secret of the Old Clock,2005,Adventure,1st-person,Windows,7.8,77% (16),"Her Interactive, Inc.","Her Interactive, Inc.",0.0,1.0,Puzzle elements
Serious Sam: Gold,2003,Compilation,Extra content / game,Windows,7.8,75% (3),,,0.0,1.0,
Turbo Girl,1988,Action,Top-down,Commodore 64,7.6,41% (1),"Dinamic Software, Alternative Software Ltd.",Dinamic Software,0.0,1.0,Shooter
U.S. Championship V'Ball,1988,Sports,Side view,Arcade,7.8,76% (12),"Technos Japan Corp., Sharp Corporation, Nintendo of America Inc.",Technos Japan Corp.,0.0,1.0,Volleyball
On the Rain-Slick Precipice of Darkness: Episode T...,2008,Role-playing (RPG),Diagonal-down,Windows,7.7,77% (22),"Hothead Games, Inc., 1C Company","Hothead Games, Inc.",0.0,1.0,Turn-based
Assassin's Creed IV: Black Flag,2013,Compilation,,PlayStation 3,8.0,80% (12),"Ubisoft Entertainment SA, ak tronic Software & Services GmbH",Ubisoft Entertainment SA,0.0,1.0,
Ultima: The Second Trilogy,1992,Compilation,Top-down,DOS,7.9,86% (1),"ORIGIN Systems, Inc., Electronic Arts, Inc.","ORIGIN Systems, Inc.",0.0,1.0,Turn-based
The House of the Dead: Overkill,2009,Action,1st-person,Wii,7.9,79% (51),Headstrong Games Ltd.,Headstrong Games Ltd.,0.0,1.0,Rail shooter
The Battle for Wesnoth,2005,Strategy,Diagonal-down,BeOS,8.2,84% (20),"Androth Softworks, Wesnoth Inc.",Androth Softworks,0.0,1.0,Turn-based
Audiosurf,2008,Racing / Driving,Behind view,Windows,8.4,86% (29),"Audiosurf, LLC","Audiosurf, LLC",0.0,1.0,"Falling block puzzle, Music / rhythm"
Gabriel Knight: Sins of the Fathers,1993,Adventure,Side view,DOS,8.4,86% (34),"Sierra On-Line, Inc., Activision Publishing, Inc., Activision Value Publishing, Inc.","Sierra On-Line, Inc.",0.0,1.0,2D scrolling
Rock n' Roll Racing,1993,Action,Diagonal-down,SNES,8.3,83% (31),"Interplay Productions, Inc., Namco Limited, Blizzard Entertainment Inc., Vivendi Universal Games, Inc.","Interplay Productions, Inc.",0.0,1.0,"Arcade, Shooter"
Freddi Fish 2: The Case of the Haunted Schoolhouse,1996,Adventure,Side view,Macintosh,8.2,89% (6),"Humongous Entertainment, Inc., Take-Two Interactive Software, Inc., Akella","Humongous Entertainment, Inc.",0.0,1.0,Point and select
Little Samson,1992,Action,Side view,NES,8.1,84% (13),"Takeru Co., Ltd.","Takeru Co., Ltd.",0.0,1.0,Fantasy
Links 386 Pro,1992,Sports,Behind view,DOS,8.3,91% (8),"Access Software, Inc., Cybelle, Big Finish Games","Access Software, Inc.",0.0,1.0,Golf
Gun-Nac,1990,Action,Top-down,NES,8.1,85% (8),Compile,Compile,0.0,1.0,"Arcade, Shooter"
StarCraft: Battle Chest,1999,Compilation,,Windows,8.1,90% (1),Blizzard Entertainment Inc.,Blizzard Entertainment Inc.,0.0,1.0,
The Magic Candle: Volume 1,1989,Role-playing (RPG),Top-down,DOS,7.7,77% (9),"Mindcraft Software, Inc., StarCraft, Inc.","Mindcraft Software, Inc.",0.0,1.0,Turn-based
Nancy Drew: Secret of the Old Clock,2005,Adventure,1st-person,Windows,7.8,77% (16),"Her Interactive, Inc.","Her Interactive, Inc.",0.0,1.0,Puzzle elements
Serious Sam: Gold,2003,Compilation,Extra content / game,Windows,7.8,75% (3),,,0.0,1.0,
Turbo Girl,1988,Action,Top-down,Commodore 64,7.6,41% (1),"Dinamic Software, Alternative Software Ltd.",Dinamic Software,0.0,1.0,Shooter
U.S. Championship V'Ball,1988,Sports,Side view,Arcade,7.8,76% (12),"Technos Japan Corp., Sharp Corporation, Nintendo of America Inc.",Technos Japan Corp.,0.0,1.0,Volleyball
On the Rain-Slick Precipice of Darkness: Episode T...,2008,Role-playing (RPG),Diagonal-down,Windows,7.7,77% (22),"Hothead Games, Inc., 1C Company","Hothead Games, Inc.",0.0,1.0,Turn-based
Assassin's Creed IV: Black Flag,2013,Compilation,,PlayStation 3,8.0,80% (12),"Ubisoft Entertainment SA, ak tronic Software & Services GmbH",Ubisoft Entertainment SA,0.0,1.0,
Ultima: The Second Trilogy,1992,Compilation,Top-down,DOS,7.9,86% (1),"ORIGIN Systems, Inc., Electronic Arts, Inc.","ORIGIN Systems, Inc.",0.0,1.0,Turn-based
The House of the Dead: Overkill,2009,Action,1st-person,Wii,7.9,79% (51),Headstrong Games Ltd.,Headstrong Games Ltd.,0.0,1.0,Rail shooter
The Battle for Wesnoth,2005,Strategy,Diagonal-down,BeOS,8.2,84% (20),"Androth Softworks, Wesnoth Inc.",Androth Softworks,0.0,1.0,Turn-based
Audiosurf,2008,Racing / Driving,Behind view,Windows,8.4,86% (29),"Audiosurf, LLC","Audiosurf, LLC",0.0,1.0,"Falling block puzzle, Music / rhythm"
Gabriel Knight: Sins of the Fathers,1993,Adventure,Side view,DOS,8.4,86% (34),"Sierra On-Line, Inc., Activision Publishing, Inc., Activision Value Publishing, Inc.","Sierra On-Line, Inc.",0.0,1.0,2D scrolling
Rock n' Roll Racing,1993,Action,Diagonal-down,SNES,8.3,83% (31),"Interplay Productions, Inc., Namco Limited, Blizzard Entertainment Inc., Vivendi Universal Games, Inc.","Interplay Productions, Inc.",0.0,1.0,"Arcade, Shooter"
Freddi Fish 2: The Case of the Haunted Schoolhouse,1996,Adventure,Side view,Macintosh,8.2,89% (6),"Humongous Entertainment, Inc., Take-Two Interactive Software, Inc., Akella","Humongous Entertainment, Inc.",0.0,1.0,Point and select
Little Samson,1992,Action,Side view,NES,8.1,84% (13),"Takeru Co., Ltd.","Takeru Co., Ltd.",0.0,1.0,Fantasy
Links 386 Pro,1992,Sports,Behind view,DOS,8.3,91% (8),"Access Software, Inc., Cybelle, Big Finish Games","Access Software, Inc.",0.0,1.0,Golf
